energy_GeV,fit,pull_category,jet,variable,branch,stage,selection,selected_events,visible_fills,hist_mean,hist_rms,gaussian_mu,gaussian_mu_error,gaussian_sigma,gaussian_sigma_error,gaussian_fit_status,gaussian_chi2_ndf
240.0,4C,pull4C_final,3,theta,pull4C_final_theta_j3,before,pull4C_final_valid > 0.5,45815,43850,0.010250611789281138,1.3200043968909694,0.015900558722974453,0.005348143030608123,1.0427764942829862,0.006176206752061986,4000,43.04318781024554
240.0,4C,pull4C_final,3,theta,pull4C_final_theta_j3,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,0.012256422480422998,1.0023423434196383,0.012916481929223587,0.00502868944296179,0.9599113105494947,0.005522692944441798,4000,33.1963501843359
240.0,4C,pull4C_final,3,phi,pull4C_final_phi_j3,before,pull4C_final_valid > 0.5,45815,43702,-0.010863087944762184,1.3209157657671553,-0.012293906123021057,0.00517119806938627,1.0069065034351838,0.006038360330867798,4000,46.43881660714456
240.0,4C,pull4C_final,3,phi,pull4C_final_phi_j3,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,-0.00829182760423218,0.9827363277390334,-0.010426875567416168,0.0049240191602745054,0.9398028733359683,0.005440874613270308,4000,35.75738938146876
240.0,4C,pull4C_final,3,x,pull4C_final_x_j3,before,pull4C_final_valid > 0.5,45815,44202,-0.22789639693239838,1.073328383390446,-0.15454844762143066,0.0036206506803643144,0.6957451630007283,0.00489051056094586,4000,79.85504511315729
240.0,4C,pull4C_final,3,x,pull4C_final_x_j3,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,-0.1681653944359664,0.7562049736794904,-0.1442660789070326,0.003443278032587638,0.6425448823123855,0.004427855965239813,4000,60.87912965614014
240.0,5C,pull5C_standard,3,alpha,pull5C_standard_alpha_j3,before,pull5C_standard_valid > 0.5,45771,31636,-0.02645028449572264,2.090896215591379,-0.06824299064064913,0.012501796059436202,1.6611369595568315,0.015621009877821224,4000,11.241810319952442
240.0,5C,pull5C_standard,3,alpha,pull5C_standard_alpha_j3,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,-0.14565518428628682,0.7186626070111077,-0.13505142843748702,0.010615043607369872,0.6151933793609868,0.012309666993623347,4000,5.201793519310954
240.0,5C,pull5C_standard,3,theta,pull5C_standard_theta_j3,before,pull5C_standard_valid > 0.5,45771,8892,-0.02432884310734407,2.7620808256519416,-0.28107390793013864,0.23787125723155034,5.326713858538194,0.7764185832842787,4000,0.7574049442674995
240.0,5C,pull5C_standard,3,theta,pull5C_standard_theta_j3,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,0.017979834314271356,1.7184962522364249,0.03344997260935077,0.07693924926907278,2.6778645463397783,0.12949762331006442,4000,0.6493818219011737
240.0,5C,pull5C_standard,3,phi,pull5C_standard_phi_j3,before,pull5C_standard_valid > 0.5,45771,9294,-0.03943171293861541,2.7546856751996964,-0.15656996271552603,0.1264080700710812,3.9805143134747607,0.3240207908597601,4000,1.0166623191498205
240.0,5C,pull5C_standard,3,phi,pull5C_standard_phi_j3,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,-0.025780092069193284,1.6883489666175935,-0.0480023504204676,0.06858722637923273,2.512243410852793,0.1099034604418141,4000,0.9298818189653839
240.0,5C,pull5C_standard,3,x,pull5C_standard_x_j3,before,pull5C_standard_valid > 0.5,45771,21299,-0.22008763808361223,2.3202508600995535,-0.24073475790767065,0.022868372898198652,2.0590982328578598,0.032421806465863234,4000,4.285505598342132
240.0,5C,pull5C_standard,3,x,pull5C_standard_x_j3,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,-0.11763853936155293,0.9412080224064497,-0.1300506668206709,0.014798450256720247,0.8683623783273089,0.014877867457938232,4000,3.11819597747678
240.0,5C,pull5C_final,3,alpha,pull5C_final_alpha_j3,before,pull5C_final_valid > 0.5,45771,32922,0.0777316628258148,1.9813968381082798,7.579145703984313e-05,0.010443370003678669,1.5014170995742562,0.012350509016159639,4000,15.40335642972549
240.0,5C,pull5C_final,3,alpha,pull5C_final_alpha_j3,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,-0.01875410941298234,0.888182397417759,-0.02864937686219253,0.008712601274460984,0.8516532874912218,0.008982564099042412,4000,7.886384927943813
240.0,5C,pull5C_final,3,theta,pull5C_final_theta_j3,before,pull5C_final_valid > 0.5,45771,19868,-0.02249260025131074,2.349661158342523,-0.014358244698120573,0.027060422172611315,2.257890812538816,0.04139921428624316,4000,2.1970860673435424
240.0,5C,pull5C_final,3,theta,pull5C_final_theta_j3,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,-0.008017882648126686,1.4419031159288156,-0.015596162157523097,0.019194545854890374,1.617737221974267,0.020731066403875786,4000,1.3764642223884622
240.0,5C,pull5C_final,3,phi,pull5C_final_phi_j3,before,pull5C_final_valid > 0.5,45771,19231,-0.0003271653066889167,2.401103647738907,-0.02965054381416849,0.029025225438440494,2.312326301346874,0.04540083315395993,4000,2.2026743542614184
240.0,5C,pull5C_final,3,phi,pull5C_final_phi_j3,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,-0.014134917636741996,1.4799955841200119,-0.022754276452319457,0.02135017127349267,1.7322878243256024,0.024433992547537975,4000,1.1876634045052819
240.0,5C,pull5C_final,3,x,pull5C_final_x_j3,before,pull5C_final_valid > 0.5,45771,28168,-0.052944656292272005,2.0726044195431244,-0.06665291039783215,0.012688701152037308,1.6159375127399882,0.015612813742529763,4000,10.498428348702312
240.0,5C,pull5C_final,3,x,pull5C_final_x_j3,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,-0.007299309271016221,0.954928983044744,-0.013102547437326138,0.00943374017519798,0.9332130002269355,0.008817902136164846,4000,4.800226227110598
240.0,4C,pull4C_standard,4,alpha,pull4C_standard_alpha_j4,before,pull4C_standard_valid > 0.5,45815,37232,-0.306814135456966,1.4459421060891255,-0.20168487336319466,0.005488981052035127,0.927555760136633,0.007208530491726373,4000,63.00578407648227
240.0,4C,pull4C_standard,4,alpha,pull4C_standard_alpha_j4,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,-0.2192136408809003,0.8721961218489577,-0.185920859500147,0.005074745222924779,0.7936435308301916,0.006194979168963943,4000,43.682982562246295
240.0,4C,pull4C_standard,4,theta,pull4C_standard_theta_j4,before,pull4C_standard_valid > 0.5,45815,36840,0.020033220262500626,1.6157265652057249,0.01957099899815707,0.006476144979042071,1.1109075428409148,0.007703563466309404,4000,37.619973906370625
240.0,4C,pull4C_standard,4,theta,pull4C_standard_theta_j4,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,0.017073869931076704,1.0086343665483481,0.020274132472430432,0.005835200540509136,0.9580095392895821,0.006470396918753674,4000,25.832241346900762
240.0,4C,pull4C_standard,4,phi,pull4C_standard_phi_j4,before,pull4C_standard_valid > 0.5,45815,37600,-0.016553386857641524,1.5922353339750221,-0.009006763532325403,0.006373472986559373,1.107918249224521,0.00749680876112202,4000,38.88132027218879
